#{"t_start": 1653649033.3496325, "env_id": null}
r,l,t
-2232.0,89,25.948097
-2324.0,89,40.017174
-2132.0,89,53.022265
-1959.0,89,68.14282
-2481.0,89,82.42239
-2034.0,89,94.970981
-1911.0,89,109.416511
-1964.0,89,122.480566
-2346.0,89,135.762127
-1915.0,89,148.339667
-2259.0,89,164.500728
-2110.0,89,178.117273
-2110.0,89,192.992318
-1894.0,89,207.504364
-2248.0,89,222.682907
-2095.0,89,237.036948
-1789.0,89,251.546984
-2297.0,89,266.761523
-2168.0,89,281.763559
-2142.0,89,297.007797
-2091.0,89,314.030369
-1588.0,89,328.986221
-1562.0,89,345.502531
-2153.0,89,360.663003
-2080.0,89,376.705975
-1263.0,89,390.360656
-1767.0,89,405.142816
-1593.0,89,419.537045
-1513.0,89,433.735821
-1077.0,89,447.568175
-1477.0,89,464.151404
-2037.0,89,479.34226
-1756.0,89,494.599148
-1855.0,89,511.28952
-1838.0,89,528.153927
-1435.0,89,544.315391
-2134.0,89,558.423488
-1230.0,89,572.216046
-1298.0,89,584.808198
-1707.0,89,599.862801
-1635.0,89,615.723441
-2374.0,89,630.41056
-1498.0,89,645.075236
-1063.0,89,660.986411
-1313.0,89,676.423105
-1503.0,89,691.587328
-1663.0,89,705.921577
-1330.0,89,719.638853
-978.0,89,733.90063
-461.0,89,749.474402
-722.0,89,764.139704
-679.0,89,778.02202
-943.0,89,792.060848
-861.0,89,806.244185
-735.0,89,821.848011
-955.0,89,835.873369
-1173.0,89,849.859733
-724.0,89,863.946602
-607.0,89,877.569983
-596.0,89,891.470369
-597.0,89,906.718749
-1307.0,89,920.706146
-734.0,89,934.886048
-573.0,89,949.120954
-1415.0,89,964.50136
-866.0,89,978.32328
-807.0,89,992.171206
-673.0,89,1006.420132
-794.0,89,1020.805566
-642.0,89,1034.599498
-949.0,89,1050.35693
-740.0,89,1065.011372
-583.0,89,1079.289316
-1092.0,89,1094.062762
-744.0,89,1109.842716
-438.0,89,1123.765161
-675.0,89,1137.687161
-548.0,89,1151.040578
-487.0,89,1164.464042
-536.0,89,1178.271008
-822.0,89,1194.890971
-541.0,89,1208.761968
-471.0,89,1222.501905
-554.0,89,1236.143379
-375.0,89,1251.361349
-330.0,89,1264.771827
-453.0,89,1278.795801
-412.0,89,1292.53428
-397.0,89,1306.19176
-704.0,89,1319.890318
-428.0,89,1333.774924
-547.0,89,1350.405549
-312.0,89,1363.363632
-392.0,89,1376.737721
-403.0,89,1390.201802
-469.0,89,1405.511889
-592.0,89,1419.212965
-448.0,89,1432.72454
-296.0,89,1446.452105
-453.0,89,1460.364171
-215.0,89,1474.408232
-579.0,89,1489.933801
-399.0,89,1505.204359
-347.0,89,1519.262412
-302.0,89,1533.257961
-587.0,89,1549.012513
-286.0,89,1562.815057
-360.0,89,1575.879098
-371.0,89,1589.890136
-323.0,89,1603.467675
-226.0,89,1617.008709
-284.0,89,1631.742245
-387.0,89,1644.880809
-210.0,89,1658.596306
-227.0,89,1671.890333
-267.0,89,1685.506863
-252.0,89,1700.538889
-180.0,89,1714.598915
-303.0,89,1728.83944
-146.0,89,1742.370962
-258.0,89,1756.293982
-197.0,89,1771.838506
-310.0,89,1785.747025
-292.0,89,1799.806548
-150.0,89,1813.71356
-188.0,89,1828.061583
-302.0,89,1842.285595
-413.0,89,1857.498608
-327.0,89,1870.899123
-249.0,89,1884.415136
-238.0,89,1898.398682
-118.0,89,1912.776662
-354.0,89,1925.794173
-176.0,89,1938.723181
-173.0,89,1951.71519
-98.0,89,1964.7087
-264.0,89,1977.503225
-214.0,89,1990.556221
-330.0,89,2004.364731
-300.0,89,2017.612736
-220.0,89,2033.224743
-96.0,89,2047.053252
-70.0,89,2059.802258
-98.0,89,2072.826265
-200.0,89,2085.71177
-114.0,89,2098.579786
-46.0,89,2111.404786
-208.0,89,2124.101321
-212.0,89,2137.518296
-85.0,89,2151.094301
-103.0,89,2163.642303
-119.0,89,2178.279309
-178.0,89,2191.240814
-226.0,89,2204.301818
-208.0,89,2217.489822
-95.0,89,2230.453326
-123.0,89,2244.653331
-183.0,89,2257.967841
-56.0,89,2271.081338
-76.0,89,2285.020341
-121.0,89,2297.742346
-46.0,89,2311.855849
-109.0,89,2324.85785
-121.0,89,2338.412353
-98.0,89,2351.235858
-65.0,89,2364.815859
-71.0,89,2378.033361
-7.0,89,2393.040866
-63.0,89,2406.041369
-135.0,89,2419.328872
-141.0,89,2433.944378
-134.0,89,2447.254887
-41.0,89,2460.389381
-71.0,89,2473.363381
-42.0,89,2486.230392
-107.0,89,2499.153885
-64.0,89,2512.127392
-25.0,89,2525.025891
-113.0,89,2537.867394
-72.0,89,2550.921423
-52.0,89,2563.830438
-56.0,89,2578.328932
-115.0,89,2592.004939
-84.0,89,2604.829934
-114.0,89,2617.862936
-130.0,89,2630.700438
-97.0,89,2643.532478
-200.0,89,2656.471942
-56.0,89,2669.520946
-21.0,89,2682.713449
-26.0,89,2695.674953
-71.0,89,2708.545455
-83.0,89,2723.595456
-56.0,89,2736.262494
-74.0,89,2749.353201
-78.0,89,2762.033705
-81.0,89,2775.023707
-147.0,89,2788.03571
-39.0,89,2800.906212
-163.0,89,2813.647218
-142.0,89,2826.572218
-158.0,89,2839.346221
-77.0,89,2853.965723
-278.0,89,2867.850727
-134.0,89,2880.574729
-218.0,89,2893.40523
-235.0,89,2906.093733
-258.0,89,2919.313235
-92.0,89,2932.394738
-51.0,89,2945.70524
-120.0,89,2958.884243
-110.0,89,2972.897248
-81.0,89,2988.394749
-240.0,89,3001.324252
-125.0,89,3015.283255
-33.0,89,3028.345756
-168.0,89,3041.115261
-47.0,89,3053.779263
-84.0,89,3066.388764
-113.0,89,3079.173267
-84.0,89,3092.019271
-147.0,89,3105.187276
-87.0,89,3121.996776
-131.0,89,3134.489279
-98.0,89,3147.709786
-78.0,89,3160.713286
-24.0,89,3173.949289
-83.0,89,3187.467792
-51.0,89,3200.542793
-21.0,89,3213.549297
-184.0,89,3226.635798
-88.0,89,3240.459804
-231.0,89,3255.462305
-300.0,89,3269.453308
-51.0,89,3284.317811
-43.0,89,3298.888813
-292.0,89,3312.011316
-99.0,89,3325.252818
-112.0,89,3338.690322
-149.0,89,3353.178326
-157.0,89,3366.937329
-103.0,89,3380.093828
