episode,reward,total_throughput
319,-3024.0,50
320,-3354.0,43
321,-3075.0,42
322,-3408.0,39
323,-2296.0,52
324,-3022.0,46
325,-3048.0,48
326,-3100.0,42
327,-2759.0,48
328,-2877.0,48
329,-2883.0,46
330,-3010.0,42
331,-2951.0,48
332,-3273.0,44
333,-2535.0,50
334,-2516.0,49
335,-2683.0,49
336,-3417.0,44
337,-2992.0,43
338,-3096.0,44
339,-3072.0,45
340,-2883.0,46
341,-2600.0,47
342,-2966.0,43
343,-2677.0,50
344,-2683.0,43
345,-2508.0,46
346,-3181.0,42
347,-3115.0,47
348,-2643.0,50
349,-3071.0,42
350,-3195.0,46
351,-2872.0,46
352,-2970.0,42
353,-2701.0,51
354,-2989.0,42
355,-2916.0,47
356,-2859.0,46
357,-2488.0,49
358,-2745.0,49
359,-2637.0,49
360,-2809.0,42
361,-3017.0,45
362,-3106.0,40
363,-2950.0,46
364,-3523.0,37
365,-2931.0,47
366,-3534.0,37
367,-2604.0,53
368,-2588.0,46
369,-3182.0,46
370,-2674.0,46
371,-3041.0,45
372,-2937.0,48
373,-2532.0,48
374,-2828.0,45
375,-3128.0,42
376,-2697.0,44
377,-2419.0,45
378,-3302.0,39
379,-2794.0,51
380,-2842.0,46
381,-2972.0,43
382,-2697.0,46
383,-2731.0,45
384,-2815.0,39
385,-2309.0,49
386,-3157.0,42
387,-2688.0,47
388,-2996.0,42
389,-2447.0,51
390,-2435.0,52
391,-2891.0,47
392,-2732.0,49
393,-2941.0,45
394,-3020.0,46
395,-2854.0,42
396,-2308.0,52
397,-2441.0,48
398,-3005.0,47
399,-3109.0,41
400,-3091.0,42
401,-2543.0,47
402,-2745.0,42
403,-2729.0,45
404,-2635.0,48
405,-2664.0,48
406,-2805.0,44
407,-3568.0,36
408,-3020.0,48
409,-2930.0,42
410,-3462.0,39
411,-2963.0,47
412,-2912.0,40
413,-2910.0,43
414,-3098.0,46
415,-2207.0,54
416,-2933.0,41
417,-2833.0,45
418,-2159.0,51
419,-2620.0,47
420,-3255.0,43
421,-3020.0,46
422,-3234.0,43
423,-2424.0,51
424,-3305.0,42
425,-2395.0,44
426,-2636.0,43
427,-2135.0,51
428,-2712.0,44
429,-3481.0,38
430,-2809.0,48
431,-3665.0,36
432,-2541.0,49
433,-2753.0,43
434,-2171.0,46
435,-2899.0,40
436,-3057.0,43
437,-2474.0,48
438,-2841.0,40
439,-2685.0,48
440,-2395.0,42
441,-2709.0,52
442,-2482.0,49
443,-2854.0,49
444,-2833.0,48
445,-2790.0,43
446,-2394.0,50
447,-2597.0,47
448,-2687.0,41
449,-2682.0,43
450,-2345.0,49
451,-2911.0,48
452,-2195.0,46
453,-2476.0,47
454,-2775.0,46
455,-2242.0,52
456,-2440.0,45
457,-2338.0,47
458,-2671.0,51
459,-2570.0,44
460,-2605.0,49
461,-2610.0,44
462,-2096.0,54
463,-2424.0,46
464,-2478.0,43
465,-2952.0,41
466,-2747.0,45
467,-2577.0,47
468,-2715.0,45
469,-4033.0,35
470,-2410.0,47
471,-2936.0,44
472,-2374.0,48
473,-2340.0,51
474,-2722.0,46
475,-2478.0,43
476,-2204.0,48
477,-2402.0,48
478,-2898.0,47
479,-2173.0,48
480,-2955.0,38
481,-2762.0,46
482,-2386.0,44
483,-3323.0,38
484,-2633.0,46
485,-2225.0,44
486,-2427.0,44
487,-2919.0,40
488,-3229.0,40
489,-2237.0,49
490,-2425.0,46
491,-2939.0,41
492,-2709.0,46
493,-2844.0,40
494,-2791.0,46
495,-2079.0,48
496,-2403.0,47
497,-2576.0,43
498,-2324.0,47
499,-2684.0,41
500,-1886.0,52
501,-2521.0,47
502,-3241.0,42
503,-2770.0,55
504,-2571.0,45
505,-2955.0,40
506,-2591.0,44
507,-2369.0,45
508,-2807.0,45
509,-2467.0,43
510,-2736.0,44
511,-2988.0,51
512,-2407.0,44
513,-3048.0,38
514,-2273.0,45
515,-1954.0,45
516,-3085.0,38
517,-1904.0,45
518,-2860.0,44
519,-2731.0,43
520,-2517.0,48
521,-2997.0,42
522,-2797.0,47
523,-2580.0,42
524,-2340.0,44
525,-3402.0,34
526,-2669.0,42
527,-2919.0,48
528,-2616.0,44
529,-2456.0,41
530,-2102.0,49
531,-3070.0,39
532,-3265.0,36
533,-2812.0,40
534,-2828.0,43
535,-2944.0,45
536,-1956.0,48
537,-3134.0,40
538,-2925.0,39
539,-2466.0,39
540,-2791.0,38
541,-2512.0,50
542,-3056.0,37
543,-2535.0,43
544,-2446.0,49
545,-2412.0,44
546,-3171.0,39
547,-2179.0,46
548,-2336.0,50
549,-2687.0,45
550,-2328.0,48
551,-3118.0,42
552,-2398.0,41
553,-2192.0,54
554,-2179.0,50
555,-2778.0,43
556,-2664.0,44
557,-2966.0,44
558,-1745.0,50
559,-3026.0,40
560,-2557.0,39
561,-2719.0,44
562,-2746.0,40
563,-2410.0,56
564,-2383.0,46
565,-2402.0,48
566,-2336.0,42
567,-1599.0,51
568,-2217.0,48
569,-2506.0,45
570,-2276.0,48
571,-1977.0,49
572,-2686.0,42
573,-1992.0,45
574,-2625.0,43
575,-1906.0,45
576,-1919.0,48
577,-1838.0,50
578,-2388.0,49
579,-2003.0,49
580,-2245.0,48
581,-2350.0,45
582,-2480.0,48
583,-2574.0,43
584,-2723.0,41
585,-2194.0,50
586,-2456.0,47
587,-1849.0,51
588,-1707.0,55
589,-2147.0,50
590,-2066.0,48
591,-1932.0,49
592,-2321.0,50
593,-2708.0,46
594,-2656.0,45
595,-2092.0,48
596,-2112.0,46
597,-1753.0,54
598,-1917.0,54
599,-2682.0,42
600,-2973.0,41
601,-2523.0,41
602,-2164.0,45
603,-2057.0,47
604,-2102.0,46
605,-2033.0,51
606,-1497.0,57
607,-2507.0,42
608,-2297.0,43
609,-2242.0,51
610,-2144.0,50
611,-2680.0,42
612,-1745.0,46
613,-2858.0,36
614,-2447.0,44
615,-2117.0,47
616,-2202.0,48
617,-1968.0,52
618,-2299.0,42
619,-2805.0,45
620,-1837.0,48
621,-1975.0,45
622,-1614.0,52
623,-2140.0,53
624,-2469.0,40
625,-1915.0,45
626,-2287.0,48
627,-2807.0,39
628,-2944.0,42
629,-2157.0,42
630,-1979.0,45
631,-2035.0,55
632,-2675.0,39
633,-1723.0,50
634,-1688.0,51
635,-2335.0,46
636,-2249.0,46
637,-2198.0,47
638,-1719.0,54
639,-2027.0,46
640,-2021.0,47
641,-2755.0,40
642,-2113.0,48
643,-2354.0,46
644,-1979.0,47
645,-2335.0,45
646,-2125.0,50
647,-1555.0,48
648,-1969.0,46
649,-2605.0,41
650,-2227.0,45
651,-1990.0,46
652,-1969.0,45
653,-2063.0,50
654,-1794.0,49
655,-2291.0,47
656,-1834.0,52
657,-2108.0,47
658,-2390.0,45
659,-1805.0,49
660,-2523.0,48
661,-2511.0,41
662,-1909.0,49
663,-2396.0,44
664,-2084.0,51
665,-1784.0,51
666,-2827.0,42
667,-1790.0,45
668,-1539.0,51
669,-1591.0,50
670,-2170.0,52
671,-1568.0,54
672,-1714.0,54
673,-2204.0,49
674,-2138.0,48
675,-1822.0,48
676,-1583.0,53
677,-2215.0,40
678,-1658.0,46
679,-1336.0,53
680,-1576.0,48
681,-2379.0,48
682,-2670.0,40
683,-2119.0,47
684,-1916.0,51
685,-2093.0,54
686,-2226.0,44
687,-1459.0,52
688,-1705.0,44
689,-1859.0,51
690,-1478.0,56
691,-1992.0,48
692,-2145.0,51
693,-2638.0,47
694,-2562.0,44
695,-1863.0,52
696,-1785.0,49
697,-1651.0,51
698,-1609.0,54
699,-1978.0,48
700,-2404.0,43
701,-1982.0,47
702,-2252.0,42
703,-2055.0,48
704,-2686.0,35
705,-1709.0,50
706,-1381.0,52
707,-2349.0,37
708,-1853.0,44
709,-1647.0,45
710,-1626.0,54
711,-2353.0,49
712,-2305.0,46
713,-1998.0,48
714,-2853.0,47
715,-1295.0,57
716,-2350.0,48
717,-2036.0,48
718,-2285.0,44
719,-2224.0,48
720,-1368.0,53
721,-2182.0,42
722,-1884.0,45
723,-2904.0,36
724,-1900.0,45
725,-1864.0,47
726,-1990.0,44
727,-1456.0,48
728,-2055.0,46
729,-1813.0,50
730,-1837.0,46
731,-1177.0,55
732,-1476.0,47
733,-2385.0,39
734,-1767.0,46
735,-2004.0,44
736,-2255.0,43
737,-2399.0,39
738,-2285.0,44
739,-2272.0,42
740,-1652.0,47
741,-1744.0,52
742,-2192.0,41
743,-2255.0,40
744,-1756.0,40
745,-1711.0,47
746,-2081.0,42
747,-3281.0,40
748,-2075.0,38
749,-1911.0,45
750,-1597.0,49
751,-2368.0,40
752,-2116.0,49
753,-1773.0,43
754,-2352.0,41
755,-2154.0,42
756,-1717.0,47
757,-3069.0,37
758,-2722.0,40
759,-1371.0,58
760,-2298.0,45
761,-1269.0,47
762,-2332.0,39
763,-1726.0,49
764,-1947.0,52
765,-2115.0,48
766,-1701.0,46
767,-1567.0,49
768,-1842.0,46
769,-1756.0,50
770,-2102.0,47
771,-1580.0,49
772,-1854.0,44
773,-1325.0,54
774,-1339.0,57
775,-2025.0,48
776,-3157.0,39
777,-1530.0,53
778,-2074.0,43
779,-1885.0,44
780,-2003.0,54
781,-1190.0,53
782,-2374.0,39
783,-890.0,60
784,-1807.0,50
785,-1461.0,52
786,-1360.0,55
787,-1679.0,48
788,-2092.0,42
789,-1205.0,58
790,-844.0,60
791,-1504.0,50
792,-1792.0,46
793,-1927.0,40
794,-1661.0,47
795,-1366.0,52
796,-1136.0,53
797,-2259.0,45
798,-2487.0,42
799,-1779.0,47
800,-1014.0,50
801,-1210.0,56
802,-1316.0,46
803,-2683.0,38
804,-1304.0,55
805,-2275.0,48
806,-1425.0,49
807,-1208.0,53
808,-2482.0,39
809,-2157.0,42
810,-1800.0,43
811,-1159.0,51
812,-1928.0,39
813,-2385.0,40
814,-1806.0,47
815,-2324.0,38
816,-1532.0,45
817,-1733.0,48
818,-1316.0,48
819,-1982.0,48
820,-2950.0,40
821,-2118.0,39
822,-1901.0,43
823,-1005.0,61
824,-1311.0,52
825,-1672.0,43
826,-2982.0,34
827,-2269.0,36
828,-1730.0,45
829,-1378.0,50
830,-1565.0,45
831,-1860.0,41
832,-1345.0,58
833,-1160.0,46
834,-986.0,59
835,-1423.0,46
836,-1990.0,44
837,-639.0,62
838,-1076.0,53
839,-2048.0,45
840,-1232.0,50
841,-1284.0,50
842,-1449.0,48
843,-2062.0,49
844,-1959.0,45
845,-1822.0,44
846,-1665.0,43
847,-1127.0,49
848,-2051.0,46
849,-2370.0,43
850,-1166.0,49
851,-1002.0,59
852,-2842.0,37
853,-1905.0,46
854,-1758.0,47
855,-1189.0,52
856,-1962.0,44
857,-2245.0,38
858,-2045.0,45
859,-2227.0,40
860,-2090.0,44
861,-3558.0,31
862,-1600.0,41
863,-2460.0,44
864,-1884.0,55
865,-1666.0,47
866,-1487.0,51
867,-1790.0,54
868,-1877.0,43
869,-1913.0,41
870,-1802.0,52
871,-2229.0,38
872,-1156.0,48
873,-1336.0,47
874,-1095.0,51
875,-1501.0,46
876,-1746.0,47
877,-1850.0,50
878,-1739.0,44
879,-2031.0,38
880,-784.0,62
881,-1866.0,41
882,-1020.0,56
883,-462.0,60
884,-1162.0,52
885,-1356.0,50
886,-1431.0,46
887,-1425.0,50
888,-1495.0,47
889,-2037.0,42
890,-1816.0,52
891,-2820.0,38
892,-1107.0,57
893,-891.0,62
894,-1267.0,54
895,-2375.0,53
896,-2534.0,38
897,-1206.0,48
898,-1294.0,41
899,-1009.0,63
900,-1969.0,47
901,-1541.0,51
902,-1676.0,50
903,-1002.0,54
904,-772.0,56
905,-2382.0,47
906,-2224.0,42
907,-1594.0,50
908,-1063.0,45
909,-842.0,60
910,-1367.0,51
911,-1111.0,53
912,-1597.0,46
913,-1046.0,51
914,-1414.0,51
915,-1030.0,52
916,-1186.0,53
917,-1173.0,51
918,-1005.0,57
919,-1416.0,49
920,-2297.0,42
921,-1632.0,47
922,-1029.0,51
923,-1125.0,50
924,-882.0,53
925,-605.0,62
926,-1980.0,47
927,-2304.0,38
928,-1460.0,46
929,-1078.0,60
930,-1405.0,46
931,-1196.0,52
932,-2367.0,36
933,-1923.0,43
934,-1458.0,43
935,-826.0,52
936,-1245.0,51
937,-2325.0,46
938,-1114.0,53
939,-1916.0,53
940,-1278.0,55
941,-1125.0,60
942,-784.0,61
943,-1056.0,62
944,-2038.0,42
945,-1181.0,53
946,-710.0,53
947,-1726.0,42
948,-1047.0,42
949,-1619.0,52
950,-1683.0,43
951,-1655.0,42
952,-1036.0,50
953,-660.0,61
954,-1560.0,57
955,-915.0,52
956,-815.0,56
957,-1554.0,51
958,-950.0,57
959,-1832.0,42
960,-2077.0,37
961,-1384.0,48
962,-1654.0,47
963,-703.0,56
964,-1294.0,48
965,-805.0,51
966,-1421.0,48
967,-793.0,59
968,-906.0,53
969,-560.0,62
970,-2261.0,38
971,-1882.0,52
972,-677.0,58
973,-1510.0,42
974,-741.0,58
975,-1444.0,46
976,-1219.0,57
977,-817.0,59
978,-972.0,52
979,-1093.0,55
980,-860.0,55
981,-614.0,59
982,-496.0,59
983,-2462.0,42
984,-1468.0,43
985,-807.0,60
986,-1044.0,52
987,-1567.0,48
988,-983.0,61
989,-823.0,61
990,-2673.0,40
991,-1022.0,57
992,-997.0,50
993,-752.0,55
994,-1721.0,50
995,-620.0,58
996,-776.0,59
997,-574.0,59
998,-1009.0,53
999,-863.0,56
1000,-805.0,50
1001,-1246.0,50
1002,-1687.0,44
1003,-522.0,62
1004,-950.0,54
1005,-1097.0,53
1006,-2305.0,42
1007,-397.0,63
1008,-1090.0,46
1009,-2195.0,41
1010,-838.0,56
1011,-1390.0,53
1012,-1179.0,56
1013,-726.0,56
1014,-868.0,62
1015,-1364.0,47
1016,-1580.0,51
1017,-422.0,63
1018,-546.0,59
1019,-1236.0,52
1020,-756.0,60
1021,-520.0,62
1022,-1249.0,53
1023,-925.0,56
1024,-1152.0,58
1025,-992.0,58
1026,-1212.0,50
1027,-725.0,60
1028,-1173.0,50
1029,-833.0,55
1030,-961.0,52
1031,-879.0,52
1032,-698.0,62
1033,-1875.0,40
1034,-1930.0,48
1035,-420.0,62
1036,-680.0,61
1037,-758.0,54
1038,-1560.0,43
1039,-1062.0,49
1040,-969.0,58
1041,-807.0,58
1042,-1007.0,55
1043,-1176.0,50
1044,-1030.0,54
1045,-1537.0,49
1046,-774.0,61
1047,-435.0,62
1048,-1672.0,39
1049,-892.0,62
1050,-609.0,61
1051,-1158.0,56
1052,-461.0,56
1053,-644.0,58
1054,-922.0,60
1055,-716.0,55
1056,-895.0,56
1057,-620.0,60
1058,-777.0,58
1059,-578.0,60
1060,-1446.0,50
1061,-367.0,58
1062,-1037.0,56
1063,-302.0,65
1064,-513.0,59
1065,-721.0,60
1066,-496.0,61
1067,-819.0,56
1068,-590.0,56
1069,-546.0,62
1070,-409.0,57
1071,-459.0,57
1072,-756.0,60
1073,-470.0,62
1074,-664.0,57
1075,-1043.0,59
1076,-942.0,57
1077,-684.0,61
1078,-422.0,64
1079,-557.0,63
1080,-702.0,57
1081,-445.0,62
1082,-654.0,55
1083,-733.0,51
1084,-299.0,60
1085,-829.0,57
1086,-1588.0,53
1087,-1487.0,42
1088,-847.0,54
1089,-963.0,58
1090,-710.0,60
1091,-887.0,60
1092,-612.0,61
1093,-549.0,62
1094,-581.0,55
1095,-452.0,62
1096,-605.0,61
1097,-472.0,60
1098,-492.0,61
1099,-397.0,62
1100,-759.0,54
1101,-705.0,60
1102,-541.0,64
1103,-613.0,61
1104,-1051.0,49
1105,-832.0,57
1106,-702.0,56
1107,-889.0,51
1108,-1324.0,51
1109,-714.0,54
1110,-1247.0,45
1111,-1082.0,48
1112,-934.0,50
1113,-1211.0,50
1114,-937.0,51
1115,-1854.0,44
1116,-852.0,51
1117,-2025.0,37
1118,-1113.0,51
1119,-1092.0,54
1120,-962.0,48
1121,-2250.0,35
1122,-799.0,51
1123,-942.0,51
1124,-1356.0,46
1125,-1375.0,44
1126,-1175.0,47
1127,-1701.0,50
1128,-1065.0,49
1129,-914.0,50
1130,-1454.0,54
1131,-1291.0,45
1132,-2338.0,44
1133,-1385.0,49
1134,-853.0,50
1135,-1318.0,48
1136,-1502.0,48
1137,-2116.0,38
1138,-1755.0,38
1139,-1906.0,44
1140,-1461.0,45
1141,-1402.0,42
1142,-826.0,53
1143,-1328.0,47
1144,-1212.0,45
1145,-1718.0,42
1146,-2057.0,43
1147,-1020.0,52
1148,-1008.0,54
1149,-1184.0,44
1150,-1206.0,48
1151,-1075.0,47
1152,-841.0,56
1153,-965.0,54
1154,-1061.0,46
1155,-1205.0,45
1156,-1212.0,44
1157,-1086.0,47
1158,-1530.0,46
1159,-1311.0,49
1160,-1555.0,43
1161,-2126.0,40
1162,-1100.0,50
1163,-977.0,52
1164,-874.0,49
1165,-784.0,50
1166,-797.0,54
1167,-1927.0,40
1168,-1012.0,48
1169,-928.0,54
1170,-1255.0,46
1171,-1348.0,43
1172,-2351.0,36
1173,-1444.0,42
1174,-857.0,49
1175,-1781.0,45
1176,-803.0,51
1177,-1561.0,46
1178,-800.0,50
1179,-1563.0,40
1180,-2149.0,43
1181,-1251.0,50
1182,-1325.0,51
1183,-931.0,51
1184,-1309.0,43
1185,-2109.0,38
1186,-1513.0,50
1187,-2584.0,37
1188,-851.0,54
1189,-2129.0,43
1190,-1033.0,55
1191,-914.0,47
1192,-1054.0,45
1193,-848.0,50
1194,-1717.0,39
1195,-1474.0,49
1196,-602.0,52
1197,-837.0,44
1198,-1130.0,49
1199,-1018.0,53
1200,-1202.0,46
1201,-1622.0,44
1202,-1956.0,38
1203,-1016.0,47
1204,-876.0,48
1205,-984.0,50
1206,-913.0,48
1207,-1201.0,49
1208,-2287.0,45
1209,-1057.0,49
1210,-1757.0,48
1211,-3017.0,31
1212,-925.0,52
1213,-1638.0,46
1214,-1612.0,45
1215,-1374.0,46
1216,-1093.0,54
1217,-494.0,53
1218,-1232.0,45
1219,-727.0,52
1220,-1656.0,42
1221,-1312.0,47
1222,-721.0,49
1223,-880.0,52
1224,-972.0,48
1225,-975.0,50
1226,-1513.0,51
1227,-2055.0,42
1228,-1318.0,45
1229,-1844.0,41
1230,-1296.0,45
1231,-1129.0,49
1232,-988.0,50
1233,-973.0,50
1234,-1415.0,47
1235,-540.0,56
1236,-1145.0,48
1237,-1239.0,45
1238,-1332.0,50
1239,-955.0,46
1240,-1420.0,49
1241,-664.0,50
1242,-1316.0,43
1243,-1155.0,46
1244,-1682.0,44
1245,-1344.0,50
1246,-771.0,51
1247,-1190.0,48
1248,-1547.0,43
1249,-891.0,48
1250,-752.0,50
1251,-1541.0,53
1252,-1625.0,46
1253,-1039.0,50
1254,-1361.0,47
1255,-1318.0,46
1256,-1013.0,47
1257,-1242.0,48
1258,-1340.0,48
1259,-1427.0,45
1260,-1016.0,48
1261,-2375.0,43
1262,-1335.0,49
1263,-1311.0,48
1264,-1402.0,50
1265,-1040.0,45
1266,-2186.0,44
1267,-1109.0,51
1268,-1463.0,42
1269,-1234.0,47
1270,-2048.0,38
1271,-1238.0,52
1272,-1758.0,38
1273,-1342.0,49
1274,-1259.0,47
1275,-740.0,51
1276,-1139.0,48
1277,-978.0,51
1278,-916.0,50
1279,-1886.0,45
1280,-918.0,51
1281,-1218.0,46
1282,-1133.0,55
1283,-1409.0,47
1284,-2148.0,41
1285,-992.0,46
1286,-1718.0,42
1287,-1246.0,57
1288,-830.0,50
1289,-1317.0,48
1290,-829.0,50
1291,-911.0,43
1292,-1347.0,53
1293,-906.0,51
1294,-2102.0,47
1295,-863.0,55
1296,-1015.0,49
1297,-714.0,53
1298,-1247.0,49
1299,-1197.0,47
1300,-1494.0,47
1301,-892.0,48
1302,-1629.0,46
1303,-813.0,55
1304,-1075.0,50
1305,-1392.0,44
1306,-1252.0,54
1307,-1548.0,43
1308,-2210.0,43
1309,-1312.0,48
1310,-1134.0,48
1311,-1054.0,50
1312,-2419.0,38
1313,-1589.0,46
1314,-1307.0,46
1315,-1437.0,49
1316,-1628.0,51
1317,-1103.0,46
1318,-1073.0,50
1319,-1721.0,40
1320,-1699.0,46
1321,-999.0,49
1322,-1376.0,48
1323,-1030.0,48
1324,-1088.0,45
1325,-1967.0,40
1326,-861.0,49
1327,-1232.0,55
1328,-968.0,47
1329,-1018.0,52
1330,-1424.0,46
1331,-1603.0,51
1332,-414.0,60
1333,-1319.0,53
1334,-1223.0,52
1335,-448.0,59
1336,-713.0,59
1337,-596.0,62
1338,-544.0,54
1339,-740.0,55
1340,-585.0,60
1341,-454.0,60
1342,-403.0,59
1343,-893.0,53
1344,-993.0,59
1345,-1161.0,52
1346,-248.0,61
1347,-765.0,55
1348,-214.0,62
1349,-855.0,56
1350,-377.0,60
1351,-1349.0,54
1352,-503.0,60
1353,-452.0,57
1354,-438.0,60
1355,-320.0,62
1356,-362.0,60
1357,-512.0,60
1358,-671.0,56
1359,-375.0,61
1360,-411.0,58
1361,-599.0,58
1362,-1042.0,53
1363,-466.0,59
1364,-355.0,62
1365,-456.0,61
1366,-374.0,61
1367,-1888.0,39
1368,-1446.0,47
1369,-371.0,59
1370,-619.0,57
1371,-689.0,58
1372,-1171.0,51
1373,-693.0,62
1374,-253.0,61
1375,-420.0,61
1376,-400.0,62
1377,-631.0,60
1378,-1229.0,54
1379,-582.0,58
1380,-681.0,57
1381,-750.0,55
