#{"t_start": 1653645850.9828188, "env_id": null}
r,l,t
-2852.0,89,14.741148
-2367.0,89,26.230676
-2378.0,89,36.849443
-2482.0,89,47.456797
-2594.0,89,58.033837
-2561.0,89,68.811497
-2545.0,89,79.246004
-2395.0,89,89.732668
-2408.0,89,100.30214
-2479.0,89,110.939329
-2518.0,89,123.025888
-2184.0,89,134.101137
-2274.0,89,144.104455
-2277.0,89,154.89237
-2264.0,89,165.087171
-2606.0,89,175.70986
-2498.0,89,185.773092
-2594.0,89,196.842015
-2080.0,89,207.077434
-2725.0,89,217.822241
-2066.0,89,229.587638
-2078.0,89,240.012309
-2620.0,89,250.800804
-1702.0,89,262.196848
-1794.0,89,272.395776
-2438.0,89,284.006244
-2195.0,89,294.394832
-2128.0,89,304.466173
-2148.0,89,314.532436
-2355.0,89,325.285638
-2366.0,89,337.41299
-2499.0,89,348.948312
-1872.0,89,359.498334
-2454.0,89,370.42344
-2212.0,89,380.683921
-2036.0,89,390.700867
-2438.0,89,400.92912
-2312.0,89,411.499896
-2191.0,89,422.028205
-2444.0,89,432.697339
-2368.0,89,444.765843
-2495.0,89,455.095942
-2517.0,89,466.621003
-2303.0,89,477.004001
-2309.0,89,487.975718
-2239.0,89,498.425082
-2234.0,89,510.484134
-2253.0,89,521.059832
-1919.0,89,531.136656
-2030.0,89,542.074759
-1964.0,89,553.798999
-1919.0,89,563.818778
-2311.0,89,574.275568
-2070.0,89,584.570992
-1909.0,89,594.479569
-2081.0,89,604.610931
-1972.0,89,615.087264
-1770.0,89,625.460191
-2047.0,89,635.723927
-2312.0,89,645.766843
-1729.0,89,656.958567
-2313.0,89,667.069317
-1959.0,89,677.207626
-1976.0,89,687.360551
-2072.0,89,698.701951
-2158.0,89,708.815848
-2324.0,89,719.027894
-1959.0,89,729.091272
-2143.0,89,740.124991
-2119.0,89,751.829472
-1747.0,89,763.691071
-1506.0,89,774.27799
-1870.0,89,784.089821
-2029.0,89,794.14383
-1740.0,89,804.258452
-2057.0,89,814.661768
-1959.0,89,824.734526
-1661.0,89,834.386807
-1935.0,89,844.616514
-1859.0,89,854.591608
-2245.0,89,865.847278
-1813.0,89,876.444278
-1858.0,89,886.557083
-1835.0,89,897.042081
-1762.0,89,907.459651
-1804.0,89,917.2488
-2014.0,89,927.500758
-1732.0,89,937.39043
-1771.0,89,947.457932
-1983.0,89,958.147896
-1899.0,89,968.170298
-1668.0,89,979.755673
-1737.0,89,991.421728
-1763.0,89,1001.906586
-1757.0,89,1011.750555
-1660.0,89,1021.944373
-1511.0,89,1032.076372
-1623.0,89,1042.667091
-1927.0,89,1052.736998
-1540.0,89,1062.351621
-1894.0,89,1072.58817
-1577.0,89,1083.977094
-1650.0,89,1094.335709
-1274.0,89,1104.339208
-1790.0,89,1114.502765
-1809.0,89,1124.506452
-1346.0,89,1134.462029
-1710.0,89,1144.638877
-1682.0,89,1154.682171
-1617.0,89,1164.593782
-1938.0,89,1174.647341
-1471.0,89,1186.095791
-1740.0,89,1196.301026
-1767.0,89,1206.15024
-1752.0,89,1216.331538
-1707.0,89,1228.109417
-1261.0,89,1237.774683
-1770.0,89,1248.562111
-1509.0,89,1258.481459
-1491.0,89,1268.523546
-1206.0,89,1278.586048
-1297.0,89,1289.836393
-1442.0,89,1299.894296
-1841.0,89,1310.467272
-1299.0,89,1320.68714
-1291.0,89,1330.741632
-1240.0,89,1340.432568
-1647.0,89,1350.826294
-1305.0,89,1361.036749
-1517.0,89,1370.958291
-1447.0,89,1380.745406
-1759.0,89,1392.981695
-1666.0,89,1403.552996
-1382.0,89,1413.630308
-1418.0,89,1424.419742
-1442.0,89,1434.629849
-1546.0,89,1444.636934
-1632.0,89,1454.508866
-1445.0,89,1465.865643
-1304.0,89,1476.371188
-1335.0,89,1486.753525
-1577.0,89,1498.561876
-1537.0,89,1508.187547
-1171.0,89,1518.178616
