#{"t_start": 1653609719.1867707, "env_id": null}
r,l,t
-1681.81945,89,15.544492
-1702.145334,89,30.37048
-1488.502666,89,42.689476
-1368.120733,89,54.362462
-1413.916284,89,65.864958
-1439.41032,89,77.767957
-1562.753868,89,90.266953
-1373.800368,89,102.285943
-1807.348495,89,114.825436
-1507.14798,89,126.959928
-1281.220527,89,138.104922
-1506.627993,89,151.424417
-1522.888494,89,164.303916
-1210.847817,89,175.58192
-1810.802991,89,187.847841
-1278.285807,89,198.518998
-1309.654296,89,209.174619
-1232.372817,89,219.856063
-1849.124163,89,231.435549
-1274.299863,89,242.11167
-1295.233063,89,253.499744
-1532.917002,89,265.225609
-1466.881059,89,276.427726
-1449.11824,89,288.683061
-1580.489941,89,300.70782
-1319.328914,89,312.17738
-1456.670581,89,323.08464
-1361.747565,89,334.292838
-1761.646475,89,346.352841
-1423.860993,89,357.971985
-1404.482247,89,369.335234
-1290.888749,89,380.041268
-1082.786815,89,390.75545
-1491.61572,89,402.259993
-1562.304095,89,413.758737
-1472.038733,89,425.008972
-1413.182976,89,436.144708
-1355.791006,89,447.030253
-1367.227062,89,458.279721
-1251.7136,89,469.548344
-1409.650913,89,481.006258
-1428.546207,89,492.421648
-1598.941515,89,504.248047
-1434.440999,89,515.467562
-1292.662595,89,526.649476
-1455.028011,89,538.066479
-1463.509072,89,551.533584
-1295.558357,89,562.572577
-1259.197394,89,573.045595
-1315.932221,89,585.035871
-1388.141342,89,596.624494
-1396.407386,89,607.887038
-1321.495191,89,619.649424
-1161.841667,89,631.207274
-1245.428651,89,642.13958
-912.876196,89,653.970943
-1292.915083,89,665.455359
-1293.591514,89,676.940546
-1296.578365,89,688.292885
-1362.94519,89,699.897468
-1130.000056,89,711.120457
-978.593182,89,722.187709
-1296.042038,89,734.160196
-1481.127155,89,746.009883
-1147.687442,89,757.582245
-1328.893674,89,768.935035
-1195.642027,89,779.815891
-1304.508192,89,791.602765
-1281.274825,89,803.107974
-1046.725244,89,815.665037
-1212.973604,89,827.596731
-1220.757209,89,838.930873
-838.052381,89,849.816687
-1200.527208,89,861.678744
-1125.277127,89,872.468469
-890.709442,89,883.514768
-1071.972063,89,894.940191
-1453.117585,89,907.582128
-1187.750887,89,918.658006
-1539.326404,89,931.358146
-997.637465,89,942.673835
-1033.678521,89,954.048352
-1224.812469,89,965.991134
-1149.878424,89,977.509377
-1190.349022,89,989.042552
-1259.174348,89,1000.763834
-1533.355214,89,1012.96865
-1077.199417,89,1024.543233
-1221.380844,89,1036.869638
-1269.932706,89,1048.360662
-1167.746501,89,1059.358535
-1109.541253,89,1070.416813
-885.93053,89,1083.011075
-1492.635829,89,1094.599813
-1148.201415,89,1105.886679
-1157.079991,89,1116.753024
-1054.331944,89,1127.943253
-1285.557027,89,1139.232876
-1058.294893,89,1149.964322
-1102.66719,89,1160.861221
-1162.703796,89,1171.529386
-1326.282363,89,1182.215626
-1203.382412,89,1193.001089
-922.739822,89,1203.912783
-1253.401149,89,1215.220365
-1205.955438,89,1226.56201
-1150.939881,89,1237.396486
-966.361641,89,1248.249606
-1267.721614,89,1259.384643
-1161.306944,89,1270.290425
-1218.542856,89,1281.456754
-1204.92904,89,1292.537614
