#{"t_start": 1653649619.3127995, "env_id": null}
r,l,t
-2658.0,89,17.757536
-2563.0,89,34.030639
-2167.0,89,47.207831
-2101.0,89,61.274525
-2513.0,89,77.784189
-2433.0,89,93.630878
-2506.0,89,109.086596
-2459.0,89,122.983362
-2200.0,89,137.17563
-2476.0,89,151.772406
-2417.0,89,167.640678
-2266.0,89,182.37548
-2686.0,89,195.996807
-2349.0,89,210.800627
-2938.0,89,227.453439
-2470.0,89,241.407791
-2739.0,89,255.858642
-2413.0,89,270.901997
-2215.0,89,285.055872
-2335.0,89,299.684748
-2450.0,89,314.231133
-2239.0,89,329.776514
-2361.0,89,343.854415
-2368.0,89,358.100321
-2468.0,89,374.118228
-2360.0,89,387.79914
-2602.0,89,401.668563
-2382.0,89,416.215489
-2195.0,89,430.977416
-2393.0,89,444.879348
-2260.0,89,459.314284
-2287.0,89,476.024716
-2245.0,89,490.09916
-2410.0,89,505.660111
-2415.0,89,522.494546
-2284.0,89,536.7275
-2235.0,89,551.331453
-2347.0,89,564.749914
-2251.0,89,579.032373
-2258.0,89,593.401838
-2372.0,89,610.612296
-2491.0,89,625.34027
-2308.0,89,640.711731
-2579.0,89,655.235702
-2132.0,89,671.533676
-2387.0,89,686.486144
-2588.0,89,701.359119
-2322.0,89,715.9251
-2013.0,89,729.871119
-2308.0,89,744.309731
-2696.0,89,762.456366
-2038.0,89,777.095963
-2200.0,89,791.882559
-2308.0,89,805.977146
-2337.0,89,822.22824
-2520.0,89,836.734818
-2540.0,89,851.119891
-2240.0,89,865.576961
-2515.0,89,880.729532
-2065.0,89,895.789094
-2235.0,89,910.981659
-2650.0,89,926.276221
-2543.0,89,941.609775
-2311.0,89,955.685323
-2336.0,89,971.334375
-2555.0,89,985.668417
-2358.0,89,999.905958
-2509.0,89,1014.117998
-2499.0,89,1028.852537
-2356.0,89,1044.695075
-2277.0,89,1058.321114
-2629.0,89,1073.221643
-2392.0,89,1087.564174
-2191.0,89,1102.3557
-2497.0,89,1118.271729
-2220.0,89,1133.144257
-2348.0,89,1148.264285
-2085.0,89,1162.921807
-2302.0,89,1178.877831
-2388.0,89,1193.974851
-2349.0,89,1208.436868
-2306.0,89,1224.079897
-2452.0,89,1239.722908
-2478.0,89,1255.576928
-2346.0,89,1272.036943
-2304.0,89,1287.463958
-2313.0,89,1302.757473
-2889.0,89,1318.741994
-2666.0,89,1334.046498
-2560.0,89,1348.907013
-2176.0,89,1362.912523
-2236.0,89,1376.732034
-2317.0,89,1391.222542
-2230.0,89,1406.115055
-2462.0,89,1420.857064
-2402.0,89,1436.166573
-2134.0,89,1451.335086
-2834.0,89,1467.157588
-2345.0,89,1482.249094
-2407.0,89,1496.626602
-2279.0,89,1510.434108
-2250.0,89,1524.084616
-2173.0,89,1537.481621
-2106.0,89,1552.036629
-2341.0,89,1566.077171
-2345.0,89,1580.96564
-1966.0,89,1596.067147
-2160.0,89,1610.207653
-2415.0,89,1624.586653
-2445.0,89,1638.561657
-2315.0,89,1652.79616
-2297.0,89,1668.646667
-2224.0,89,1682.921172
-2305.0,89,1697.932674
-2101.0,89,1710.908678
-2149.0,89,1726.003183
-2074.0,89,1740.034185
-2276.0,89,1754.585688
-2412.0,89,1768.972198
-2256.0,89,1783.305698
-2508.0,89,1798.401196
-1970.0,89,1814.230199
-2412.0,89,1828.164238
-2454.0,89,1844.275207
-2708.0,89,1858.620209
-2482.0,89,1874.291209
-2722.0,89,1888.854715
-2799.0,89,1904.279217
-2145.0,89,1917.911722
-2262.0,89,1932.271224
-2700.0,89,1946.93373
-2248.0,89,1960.854754
-2175.0,89,1975.050257
-2422.0,89,1990.844259
-2611.0,89,2006.277762
-2220.0,89,2020.309267
-2461.0,89,2034.828269
-2476.0,89,2048.884774
-2206.0,89,2063.342275
-2180.0,89,2077.343277
-2233.0,89,2091.546822
-2107.0,89,2105.585783
-2480.0,89,2120.43929
-2694.0,89,2137.322291
-2245.0,89,2150.655291
-2781.0,89,2165.915035
-2331.0,89,2180.585539
-2666.0,89,2195.346041
-2158.0,89,2209.487047
-2649.0,89,2224.033547
-2083.0,89,2238.66905
-2435.0,89,2252.755553
-2433.0,89,2268.44406
-2643.0,89,2284.164059
-2099.0,89,2298.117061
-2365.0,89,2312.233565
-2508.0,89,2326.599069
-2340.0,89,2340.54007
-2286.0,89,2355.355575
-2387.0,89,2369.678075
-2542.0,89,2384.885083
-2193.0,89,2401.353083
-2292.0,89,2415.741583
-2292.0,89,2431.409587
-2298.0,89,2445.355591
-2259.0,89,2459.085595
-2272.0,89,2472.417596
-2275.0,89,2485.788598
-2299.0,89,2499.416102
-2430.0,89,2513.760607
-2751.0,89,2532.027611
-2153.0,89,2546.446611
-2559.0,89,2560.271116
-2487.0,89,2575.33812
-2207.0,89,2589.740121
-2304.0,89,2604.488124
-2189.0,89,2619.084127
-2268.0,89,2632.82913
-2311.0,89,2647.225133
-2533.0,89,2663.435139
-2101.0,89,2678.263141
-2501.0,89,2694.429144
-2664.0,89,2711.513647
-2363.0,89,2726.027648
-2307.0,89,2740.686153
-2204.0,89,2754.705654
-2404.0,89,2771.198158
-2225.0,89,2785.574661
-2587.0,89,2800.656164
-2364.0,89,2816.199667
-2118.0,89,2830.285172
-2494.0,89,2844.811172
-2763.0,89,2860.124678
-2227.0,89,2875.356679
-2639.0,89,2889.918181
-2342.0,89,2904.050184
-2352.0,89,2918.824191
-2485.0,89,2933.986692
-2279.0,89,2950.743695
-2457.0,89,2966.302199
-2248.0,89,2981.109704
-2429.0,89,2996.924203
-2197.0,89,3012.574205
-2386.0,89,3027.160213
-2568.0,89,3041.506213
-2157.0,89,3056.252714
-2004.0,89,3071.300221
-2521.0,89,3087.975222
-2291.0,89,3103.175727
-2741.0,89,3119.728732
-2442.0,89,3134.964231
-2081.0,89,3151.006736
-2550.0,89,3168.705738
-2260.0,89,3183.263738
-2380.0,89,3198.915244
-2356.0,89,3214.189246
-2427.0,89,3230.716749
-2436.0,89,3246.057754
-2293.0,89,3262.170257
-2446.0,89,3277.108759
-2247.0,89,3290.697762
-2304.0,89,3306.617268
-2356.0,89,3323.630768
-2572.0,89,3339.200272
-2668.0,89,3354.262275
-2578.0,89,3370.222778
-2510.0,89,3385.48478
-2409.0,89,3399.593784
-2165.0,89,3414.921786
-2243.0,89,3429.674291
-2330.0,89,3444.835293
-2500.0,89,3460.904799
