episode,reward,total_throughput
1,-5978.0,65
2,-6040.0,65
3,-6041.0,65
4,-6652.0,61
5,-5635.0,69
6,-6483.0,64
7,-5841.0,66
8,-6531.0,63
9,-6127.0,68
10,-6306.0,61
11,-5541.0,74
12,-6060.0,69
13,-5639.0,75
14,-5982.0,66
15,-6051.0,68
16,-5951.0,64
17,-6280.0,63
18,-6009.0,65
19,-5903.0,66
20,-7316.0,57
21,-5852.0,71
22,-6248.0,66
23,-6814.0,57
24,-6261.0,67
25,-5715.0,69
26,-5296.0,73
27,-6324.0,65
28,-6143.0,66
29,-6110.0,62
30,-6548.0,69
31,-6554.0,67
32,-5735.0,74
33,-5515.0,74
34,-5414.0,69
35,-7499.0,57
36,-6393.0,64
37,-6903.0,59
38,-6070.0,67
39,-5075.0,77
40,-5689.0,68
41,-6193.0,71
42,-6172.0,66
43,-7664.0,51
44,-5956.0,64
45,-5610.0,71
46,-6100.0,67
47,-5943.0,68
48,-4927.0,86
49,-5595.0,69
50,-6139.0,63
51,-5954.0,61
52,-5332.0,73
53,-5810.0,69
54,-5824.0,68
55,-6967.0,59
56,-5798.0,67
57,-5916.0,68
58,-5841.0,66
59,-5952.0,66
60,-6156.0,64
61,-6485.0,63
62,-5644.0,67
63,-6604.0,63
64,-5873.0,71
65,-5800.0,65
66,-6300.0,67
67,-5923.0,68
68,-6077.0,67
69,-6034.0,63
70,-6544.0,64
71,-6268.0,63
72,-6825.0,60
73,-6379.0,64
74,-5492.0,78
75,-6801.0,58
76,-6123.0,64
77,-5848.0,71
78,-6017.0,72
79,-5753.0,70
80,-6454.0,59
81,-7158.0,56
82,-7604.0,52
83,-5730.0,66
84,-5735.0,73
85,-4859.0,78
86,-5539.0,73
87,-5800.0,73
88,-5676.0,65
89,-6235.0,64
90,-6271.0,58
91,-6106.0,67
92,-5372.0,70
93,-5983.0,68
94,-5116.0,75
95,-6973.0,60
96,-6565.0,60
97,-5523.0,71
98,-7686.0,52
99,-6348.0,66
100,-6737.0,63
101,-6299.0,67
102,-6717.0,58
103,-7572.0,55
104,-6247.0,68
105,-6173.0,63
106,-6411.0,67
107,-6273.0,65
108,-5755.0,71
109,-5615.0,74
110,-5684.0,70
111,-6357.0,61
112,-6211.0,62
113,-6814.0,60
114,-5957.0,71
115,-6458.0,63
116,-6022.0,68
117,-5484.0,68
118,-5121.0,75
119,-5862.0,64
120,-6470.0,61
121,-6499.0,57
122,-5613.0,69
123,-7408.0,53
124,-6343.0,66
125,-5868.0,68
126,-7104.0,62
127,-6683.0,62
128,-5404.0,72
129,-6480.0,63
130,-5877.0,70
131,-5642.0,63
132,-5823.0,63
133,-5571.0,79
134,-5758.0,67
135,-6422.0,61
136,-5434.0,70
137,-6063.0,70
138,-5990.0,70
139,-6257.0,64
140,-6120.0,62
141,-6131.0,64
142,-6402.0,63
143,-5669.0,70
144,-5608.0,65
145,-5641.0,74
146,-5513.0,73
147,-5710.0,74
148,-6066.0,68
149,-5928.0,69
150,-5582.0,69
151,-6722.0,57
152,-5459.0,72
153,-5650.0,69
154,-5604.0,72
155,-6543.0,58
156,-6276.0,61
157,-5071.0,73
158,-5971.0,70
159,-6186.0,64
160,-5174.0,75
161,-5818.0,68
162,-4788.0,78
163,-5597.0,69
164,-6478.0,64
165,-5458.0,66
166,-6907.0,54
167,-6054.0,65
168,-5965.0,68
169,-6591.0,58
170,-5783.0,71
171,-6043.0,66
172,-6381.0,64
173,-5858.0,67
174,-6457.0,63
175,-6216.0,64
176,-6240.0,62
177,-5748.0,67
178,-6211.0,62
179,-6089.0,63
180,-6076.0,69
181,-5882.0,66
182,-6581.0,62
183,-6173.0,66
184,-5987.0,61
185,-5896.0,74
186,-5629.0,73
187,-5800.0,65
188,-6366.0,66
189,-5892.0,66
190,-6157.0,65
191,-5126.0,71
192,-5748.0,75
193,-5495.0,73
194,-5683.0,70
195,-5727.0,65
196,-5546.0,72
197,-5378.0,72
198,-5494.0,73
199,-5752.0,67
200,-5712.0,69
201,-5756.0,69
202,-5453.0,73
203,-6369.0,59
204,-5919.0,70
205,-5186.0,76
206,-5358.0,76
207,-5491.0,69
208,-6234.0,62
209,-5694.0,69
210,-5626.0,68
211,-5924.0,73
212,-5757.0,72
213,-5898.0,66
214,-6188.0,62
215,-5168.0,69
216,-6809.0,59
217,-5567.0,70
218,-5788.0,69
219,-6470.0,68
220,-5530.0,68
221,-5936.0,70
222,-5189.0,78
223,-6907.0,56
224,-6071.0,59
225,-5393.0,67
226,-5004.0,77
227,-5613.0,68
228,-6378.0,59
229,-5783.0,72
230,-5921.0,67
231,-5524.0,77
232,-5800.0,70
233,-5918.0,68
234,-5829.0,71
235,-6171.0,66
236,-5884.0,67
237,-5635.0,69
238,-5702.0,74
239,-5885.0,72
240,-5593.0,75
241,-5634.0,76
242,-5735.0,66
243,-5706.0,69
244,-5619.0,71
245,-5378.0,74
246,-6299.0,61
247,-5335.0,70
248,-5875.0,63
249,-5651.0,72
250,-5633.0,69
251,-5346.0,68
252,-5829.0,67
253,-6121.0,62
254,-5417.0,72
255,-5569.0,75
256,-5097.0,82
257,-5656.0,73
258,-5562.0,71
259,-5018.0,71
260,-5589.0,70
261,-5614.0,67
262,-6111.0,63
263,-5707.0,68
264,-5771.0,67
265,-5762.0,73
266,-6382.0,61
267,-5881.0,69
268,-5239.0,68
269,-5555.0,78
270,-5162.0,78
271,-6216.0,63
272,-5484.0,81
273,-6396.0,70
274,-5913.0,68
275,-5587.0,73
276,-5693.0,68
277,-5775.0,73
278,-6612.0,63
279,-5859.0,65
280,-6072.0,66
281,-5566.0,70
282,-5669.0,70
283,-5632.0,77
284,-5505.0,70
285,-5442.0,74
286,-6648.0,61
287,-5382.0,75
288,-5366.0,74
289,-5045.0,77
290,-5590.0,70
291,-6525.0,62
292,-5814.0,66
293,-5035.0,78
294,-6277.0,61
295,-6012.0,66
296,-5717.0,64
297,-6436.0,60
298,-6092.0,57
299,-4951.0,76
300,-5000.0,75
301,-5488.0,70
302,-6611.0,61
303,-5321.0,77
304,-5030.0,78
305,-5196.0,82
306,-6293.0,64
307,-5861.0,69
308,-4790.0,75
309,-4964.0,78
310,-5585.0,71
311,-5174.0,75
312,-5504.0,73
313,-5184.0,74
314,-5561.0,64
315,-5298.0,78
316,-5243.0,69
317,-5487.0,74
318,-5445.0,74
319,-4951.0,71
320,-5572.0,71
321,-6175.0,70
322,-5845.0,66
323,-6748.0,61
324,-5996.0,66
325,-4865.0,77
326,-5220.0,72
327,-5217.0,72
328,-6538.0,61
329,-6460.0,60
330,-4792.0,83
331,-5357.0,76
332,-5425.0,76
333,-5548.0,71
334,-5521.0,73
335,-6372.0,63
336,-6075.0,67
337,-5628.0,70
338,-4808.0,76
339,-6048.0,64
340,-6636.0,61
341,-5740.0,71
342,-6615.0,60
343,-5237.0,73
344,-5719.0,71
345,-5094.0,76
346,-5540.0,71
347,-6142.0,66
348,-5156.0,76
349,-4940.0,76
350,-6009.0,68
351,-5812.0,64
352,-5132.0,76
353,-5335.0,74
354,-5401.0,72
355,-5726.0,67
356,-5170.0,73
357,-5033.0,73
358,-6148.0,66
359,-5729.0,69
360,-6059.0,63
361,-5309.0,77
362,-5348.0,67
363,-5265.0,74
364,-5342.0,74
365,-6107.0,70
366,-5775.0,66
367,-5372.0,69
368,-5444.0,72
369,-5058.0,77
370,-5337.0,75
371,-5813.0,71
372,-6770.0,67
373,-5726.0,72
374,-6283.0,58
375,-6555.0,60
376,-5799.0,68
377,-5214.0,70
378,-6299.0,65
379,-5687.0,66
380,-5810.0,70
381,-5992.0,68
382,-5884.0,64
383,-4826.0,74
384,-5159.0,73
385,-4895.0,77
386,-5168.0,79
387,-5815.0,63
388,-7835.0,51
389,-5026.0,75
390,-6512.0,59
391,-5986.0,64
392,-6430.0,63
393,-5701.0,69
394,-5145.0,69
395,-6754.0,56
396,-5463.0,73
397,-5557.0,69
398,-5264.0,72
399,-5546.0,74
400,-5404.0,74
401,-5417.0,74
402,-5558.0,71
403,-5379.0,70
404,-5480.0,70
405,-5865.0,62
406,-4999.0,77
407,-5635.0,69
408,-5552.0,68
409,-5476.0,68
410,-5542.0,66
411,-6607.0,64
412,-5077.0,75
413,-6470.0,61
414,-5586.0,68
415,-5526.0,73
416,-5936.0,66
417,-5172.0,75
418,-5281.0,74
419,-6096.0,62
420,-5357.0,77
421,-5433.0,75
422,-4868.0,73
423,-5300.0,74
424,-7044.0,57
425,-5680.0,68
426,-5747.0,69
427,-5666.0,70
428,-5719.0,65
429,-5364.0,73
430,-5974.0,62
431,-4962.0,76
432,-5616.0,77
433,-5807.0,71
434,-5656.0,65
435,-5005.0,72
436,-6282.0,61
437,-4929.0,75
438,-5466.0,74
439,-6505.0,60
440,-5340.0,73
441,-4872.0,82
442,-6871.0,57
443,-5454.0,69
444,-5945.0,67
445,-4849.0,79
446,-6323.0,67
447,-5773.0,67
448,-5563.0,68
449,-4714.0,78
450,-6515.0,62
451,-5070.0,72
452,-5429.0,70
453,-6535.0,59
454,-5638.0,67
455,-6091.0,69
456,-5523.0,71
457,-5844.0,70
458,-4876.0,72
459,-5797.0,70
460,-4994.0,77
461,-5512.0,70
462,-5768.0,66
463,-6323.0,66
464,-5935.0,64
465,-5651.0,73
466,-5196.0,76
467,-4839.0,80
468,-5349.0,74
469,-5925.0,65
470,-6022.0,66
471,-6306.0,60
472,-4732.0,83
473,-5477.0,72
474,-5665.0,73
475,-5368.0,76
476,-5815.0,63
477,-5145.0,69
478,-6265.0,66
479,-5872.0,66
480,-4528.0,84
481,-4935.0,78
482,-5005.0,72
483,-5501.0,71
484,-5366.0,71
485,-5461.0,67
486,-5881.0,65
487,-5430.0,71
488,-5524.0,72
489,-5435.0,73
490,-5368.0,67
491,-5297.0,72
492,-5371.0,74
493,-4910.0,77
494,-4793.0,78
495,-5711.0,69
496,-6109.0,64
497,-5442.0,73
498,-5453.0,67
499,-5997.0,65
500,-6075.0,67
501,-5447.0,70
502,-5549.0,72
503,-4445.0,81
504,-5024.0,78
505,-6471.0,61
506,-5669.0,65
507,-5966.0,67
508,-5174.0,71
509,-5506.0,68
510,-4490.0,84
511,-5725.0,70
512,-5831.0,64
513,-6309.0,68
514,-5799.0,71
515,-5963.0,64
516,-5317.0,68
517,-5612.0,68
518,-5583.0,71
519,-5456.0,73
520,-5272.0,76
521,-5987.0,64
522,-5206.0,70
523,-6517.0,63
524,-5739.0,64
525,-4804.0,81
526,-4787.0,76
527,-5836.0,68
528,-5677.0,75
529,-5362.0,71
530,-4913.0,71
531,-5354.0,70
532,-6550.0,66
533,-5759.0,66
534,-5533.0,68
535,-5002.0,76
536,-5085.0,77
537,-5616.0,72
538,-5942.0,66
539,-5769.0,68
540,-5543.0,72
541,-5584.0,69
542,-5421.0,72
543,-5282.0,73
544,-4442.0,84
545,-5485.0,70
546,-5400.0,73
547,-5592.0,73
548,-5915.0,75
549,-6033.0,70
550,-5462.0,72
551,-5868.0,73
552,-4838.0,77
553,-5242.0,76
554,-5796.0,69
555,-4847.0,76
556,-4985.0,72
557,-5372.0,69
558,-5969.0,65
559,-5381.0,70
