#{"t_start": 1654003925.40283, "env_id": null}
r,l,t
-6400.0,179,51.336175
-6108.0,179,93.785504
-5965.0,179,131.925999
-6769.0,179,173.731997
-5476.0,179,209.150602
-6340.0,179,247.658711
-6770.0,179,287.40184
-6926.0,179,327.599992
-6240.0,179,364.1632
-5238.0,179,399.230432
-6078.0,179,437.386151
-5589.0,179,473.653408
-5830.0,179,513.448645
-6345.0,179,551.376903
-5706.0,179,588.69218
-6497.0,179,628.185451
-6117.0,179,666.750228
-5813.0,179,701.058539
-6030.0,179,738.997333
-5673.0,179,777.377624
-6279.0,179,815.066332
-6954.0,179,858.835021
-5700.0,179,896.220903
-5497.0,179,935.030326
-6064.0,179,975.485282
-5815.0,179,1012.50034
-6226.0,179,1050.538412
-6660.0,179,1091.083497
-6159.0,179,1128.726638
-5050.0,179,1165.305821
-5881.0,179,1203.593003
-6162.0,179,1245.58268
-5653.0,179,1284.621895
-6028.0,179,1322.406632
-5616.0,179,1359.882387
-6877.0,179,1399.748637
-5692.0,179,1437.660405
-5968.0,179,1476.793176
-5741.0,179,1515.893453
-5302.0,179,1550.113763
-5584.0,179,1587.460557
-5978.0,179,1627.672843
-5694.0,179,1662.623164
-6748.0,179,1701.693461
-6740.0,179,1743.321746
-6139.0,179,1780.780065
-5993.0,179,1813.802881
-5842.0,179,1849.57017
-5693.0,179,1882.77698
-5824.0,179,1914.361303
-6923.0,179,1949.628612
-5925.0,179,1983.247938
-5465.0,179,2014.087767
-6745.0,179,2049.479084
-5966.0,179,2081.345424
-5636.0,179,2113.235758
-6060.0,179,2148.091583
-5759.0,179,2178.339435
-7342.0,179,2215.493248
-5911.0,179,2251.374074
-6346.0,179,2286.066908
-6250.0,179,2318.675743
-6487.0,179,2352.866079
-5854.0,179,2386.790918
-6229.0,179,2425.364731
-6091.0,179,2460.093066
-5526.0,179,2494.898396
-6579.0,179,2528.457237
-6855.0,179,2562.349075
-7926.0,179,2598.815899
-6165.0,179,2634.605233
-5937.0,179,2667.735068
-5879.0,179,2702.393903
-5775.0,179,2736.83124
-5863.0,179,2767.453598
-5659.0,179,2800.051949
-5643.0,179,2832.860791
-5552.0,179,2865.357641
-5427.0,179,2894.803019
-4872.0,179,2925.177362
-5852.0,179,2958.266707
-5813.0,179,2992.967044
-5952.0,179,3025.227392
-5364.0,179,3054.871281
-6775.0,179,3089.812617
-6476.0,179,3123.944958
-5405.0,179,3154.022317
-5634.0,179,3185.111172
-5036.0,179,3216.915024
-6643.0,179,3253.321353
-5183.0,179,3285.278711
-5809.0,179,3318.18255
-5954.0,179,3351.085397
-5829.0,179,3384.050243
-6880.0,179,3420.690069
-5355.0,179,3452.25243
-6287.0,179,3486.598763
-6303.0,179,3521.455101
-5875.0,179,3555.75594
-5859.0,179,3588.231788
-7087.0,179,3626.708108
-5999.0,179,3662.143941
-5413.0,179,3695.458292
-6692.0,179,3729.779126
-6525.0,179,3765.376966
-5815.0,179,3798.092312
-6531.0,179,3831.744657
-6365.0,179,3868.239238
-5196.0,179,3897.178584
-5125.0,179,3927.773982
-5875.0,179,3959.116966
-6052.0,179,3993.233474
-5026.0,179,4022.750198
-6036.0,179,4057.739369
-5655.0,179,4088.923195
-5300.0,179,4123.862015
-5718.0,179,4156.283441
-6487.0,179,4191.710371
-6264.0,179,4223.254413
-6863.0,179,4260.825409
-5947.0,179,4295.02448
-6695.0,179,4330.989569
-5653.0,179,4362.259241
-6142.0,179,4398.596882
-6396.0,179,4432.618574
-5571.0,179,4467.869764
-5878.0,179,4500.938994
-5640.0,179,4534.372272
-6447.0,179,4570.418496
-6424.0,179,4604.346732
-5643.0,179,4635.849015
-6604.0,179,4672.490275
-6732.0,179,4707.062057
-6006.0,179,4742.303839
-6164.0,179,4777.349636
-6618.0,179,4810.529437
-6069.0,179,4844.216746
-6093.0,179,4880.011497
-5720.0,179,4912.207112
-5817.0,179,4945.987228
-6843.0,179,4981.257405
-6652.0,179,5016.599527
-6104.0,179,5050.953708
-6186.0,179,5085.140437
-6336.0,179,5121.959117
-6388.0,179,5157.969843
-6783.0,179,5192.731593
-6505.0,179,5227.653349
-5914.0,179,5262.303616
-6821.0,179,5297.397389
-6238.0,179,5331.715174
-6334.0,179,5365.559976
-5430.0,179,5399.323776
-6310.0,179,5431.559578
-5582.0,179,5462.536404
-5134.0,179,5493.740734
-6164.0,179,5527.728045
-5577.0,179,5559.369872
-5394.0,179,5590.637203
-5827.0,179,5621.792041
-6795.0,179,5659.960839
-5729.0,179,5692.658168
-5522.0,179,5723.755006
-6613.0,179,5760.182325
-6224.0,179,5794.462147
-6037.0,179,5827.331983
-6660.0,179,5861.798806
-6253.0,179,5897.02663
-6317.0,179,5930.56606
-5926.0,179,5965.04503
-6969.0,179,6001.486515
-6608.0,179,6036.382559
-6848.0,179,6072.844128
-6465.0,179,6110.382216
-6176.0,179,6145.351861
-6109.0,179,6180.398028
-6158.0,179,6214.163727
-6575.0,179,6249.920935
-6884.0,179,6283.586157
-5906.0,179,6316.276411
-5444.0,179,6348.290677
-7499.0,179,6385.736918
-6889.0,179,6424.023659
-6619.0,179,6460.297426
-6847.0,179,6496.740198
-7019.0,179,6534.419978
-6290.0,179,6570.172257
-5769.0,179,6602.810569
-5912.0,179,6637.099375
-5397.0,179,6669.853691
-6291.0,179,6703.710006
-5999.0,179,6739.590312
-6919.0,179,6777.676107
-6918.0,179,6815.209908
-7588.0,179,6851.823217
-6155.0,179,6885.768541
-5838.0,179,6919.288366
-5748.0,179,6951.915746
-6569.0,179,6986.864618
-6042.0,179,7021.254055
-7436.0,179,7057.669013
-5466.0,179,7087.08311
-6077.0,179,7123.088657
-5245.0,179,7154.147793
-7408.0,179,7192.732375
-6048.0,179,7226.946032
-6256.0,179,7260.596719
-5606.0,179,7290.47845
-6389.0,179,7324.71316
-6173.0,179,7359.947383
-5077.0,179,7394.090618
-6641.0,179,7430.929359
-6817.0,179,7466.438604
-5546.0,179,7501.853875
-6510.0,179,7536.812643
-5655.0,179,7571.254424
-6384.0,179,7606.325209
-6732.0,179,7643.406487
-5426.0,179,7675.116802
-6317.0,179,7707.813114
-5997.0,179,7742.487923
-6104.0,179,7778.977717
-5202.0,179,7813.709024
-5819.0,179,7844.705358
-5218.0,179,7876.420686
-5870.0,179,7906.557025
-5342.0,179,7935.729372
-5501.0,179,7967.75588
-6152.0,179,8000.112246
-5979.0,179,8031.544208
-6447.0,179,8066.258654
-6209.0,179,8102.084139
-5832.0,179,8137.78317
-5376.0,179,8171.236269
-6787.0,179,8206.021868
-5863.0,179,8237.731534
-5699.0,179,8272.034194
-6671.0,179,8305.009388
-6259.0,179,8341.230576
-6392.0,179,8375.587288
-6094.0,179,8408.767028
-7512.0,179,8446.219747
-5944.0,179,8479.261511
-5499.0,179,8512.698784
-6329.0,179,8546.613551
-6259.0,179,8582.070321
-6458.0,179,8617.146103
-7699.0,179,8655.729865
-5152.0,179,8687.041678
-6197.0,179,8719.101987
-6266.0,179,8753.65829
-6170.0,179,8788.230094
-5548.0,179,8823.041402
-6559.0,179,8856.145217
-5609.0,179,8889.19554
-5626.0,179,8922.217857
-6719.0,179,8957.280667
-7498.0,179,8994.086891
-5584.0,179,9027.223032
-6617.0,179,9062.511707
-5147.0,179,9091.519094
-6449.0,179,9126.534918
-6141.0,179,9163.163798
-6360.0,179,9199.549695
-5643.0,179,9232.857218
-5375.0,179,9264.910284
-6037.0,179,9299.661354
-6548.0,179,9335.10245
-5448.0,179,9367.141607
-6647.0,179,9405.355728
-6216.0,179,9438.366419
-5663.0,179,9469.88714
-5455.0,179,9504.140853
-6286.0,179,9541.02256
-6200.0,179,9575.541799
-6322.0,179,9609.78105
-5896.0,179,9643.531311
-6184.0,179,9675.089098
-6089.0,179,9708.362879
-7657.0,179,9752.0041
-7425.0,179,9803.644781
-4666.0,179,9842.001555
-5366.0,179,9890.123269
-4602.0,179,9928.579547
-4489.0,179,9966.644343
-4664.0,179,10004.959023
-4605.0,179,10043.396034
-4664.0,179,10081.696587
-3709.0,179,10118.474691
-4474.0,179,10157.363804
-4664.0,179,10195.698946
-4771.0,179,10236.913089
-5566.0,179,10275.571769
-3620.0,179,10312.414982
-4035.0,179,10349.930209
-4771.0,179,10388.322933
-4771.0,179,10426.780671
-4664.0,179,10464.992916
-3800.0,179,10501.351684
-4705.0,179,10539.540445
-4665.0,179,10580.220697
-4559.0,179,10618.803467
-4112.0,179,10655.802253
-4707.0,179,10695.298531
-4276.0,179,10733.909304
-4557.0,179,10772.164591
-4771.0,179,10810.630382
-4664.0,179,10848.974666
-4572.0,179,10886.91846
-4069.0,179,10923.494763
-4610.0,179,10963.620544
-4287.0,179,11002.025342
-4771.0,179,11042.023228
-4771.0,179,11080.512974
-4513.0,179,11119.069799
-4288.0,179,11156.697202
-4664.0,179,11194.970153
-4664.0,179,11233.421154
-4312.0,179,11271.017694
-4577.0,179,11310.974751
-4614.0,179,11349.440856
-4142.0,179,11389.555974
-4664.0,179,11427.99013
-4543.0,179,11466.368804
-4771.0,179,11504.761507
-4654.0,179,11543.190708
-4523.0,179,11581.678928
-4771.0,179,11619.934169
-4664.0,179,11658.256903
-4667.0,179,11698.140177
-4470.0,179,11738.01689
-4472.0,179,11777.815145
-4481.0,179,11817.080909
-4338.0,179,11855.075681
-4481.0,179,11893.296963
-4004.0,179,11930.121248
-3259.0,179,11965.955046
-3859.0,179,12000.685856
-4000.0,179,12036.195151
-3675.0,179,12070.779218
-3471.0,179,12105.474782
-3508.0,179,12142.994839
-3297.0,179,12177.614465
-3385.0,179,12212.470112
-3543.0,179,12247.511777
-3024.0,179,12282.645961
-3228.0,179,12316.983171
-3121.0,179,12351.269394
-2224.0,179,12386.049631
-3274.0,179,12421.57387
-3122.0,179,12457.136108
-3083.0,179,12494.144355
-4110.0,179,12531.300604
-3186.0,179,12566.693877
-4389.0,179,12605.272634
-2790.0,179,12641.255918
-7499.0,179,12689.754117
-4427.0,179,12728.493389
-5002.0,179,12770.569643
-3155.0,179,12805.705942
-4178.0,179,12843.921731
-4771.0,179,12882.581508
-2957.0,179,12917.014316
-4663.0,179,12955.550604
-4502.0,179,12993.959391
-3522.0,179,13029.845195
-4432.0,179,13068.7229
-3086.0,179,13105.170941
-3316.0,179,13143.040555
-4665.0,179,13182.235237
-4284.0,179,13220.504019
-3362.0,179,13255.869426
-3404.0,179,13292.50336
-3461.0,179,13329.755334
-3404.0,179,13365.142378
-4603.0,179,13403.992917
-4096.0,179,13441.473006
-3153.0,179,13477.716634
-4235.0,179,13518.593744
-3422.0,179,13555.158918
-3649.0,179,13592.053104
-2957.0,179,13626.639826
-3429.0,179,13664.346533
-3122.0,179,13700.602772
-2771.0,179,13735.569519
-3535.0,179,13771.762769
-3395.0,179,13811.016006
-3826.0,179,13849.460255
-3496.0,179,13889.412503
-2004.0,179,13921.136307
-1785.0,179,13952.859614
-2224.0,179,13985.673915
-1682.0,179,14017.044729
-2146.0,179,14051.390528
-2381.0,179,14087.912816
-2390.0,179,14124.47391
-1588.0,179,14154.545591
-1910.0,179,14188.639754
-1903.0,179,14222.924438
-1831.0,179,14254.210656
-1462.0,179,14284.101903
-1756.0,179,14315.279149
-1643.0,179,14347.528896
-1896.0,179,14378.89616
-1700.0,179,14410.681935
-2216.0,179,14445.818182
-2331.0,179,14480.311453
-2228.0,179,14514.28323
-3258.0,179,14556.638447
