#{"t_start": 1653689818.7743866, "env_id": null}
r,l,t
-68982.0,179,31.542262
-28033.0,179,61.272754
-102058.0,179,99.603684
-32305.0,179,135.174129
-46355.0,179,170.440938
-46693.0,179,207.572932
-77747.0,179,244.256128
-103791.0,179,282.428116
-51160.0,179,318.287503
-23398.0,179,356.012106
-29082.0,179,400.637819
-80694.0,179,461.017583
-42091.0,179,505.876454
-88265.0,179,552.960847
-24268.0,179,591.214262
-49950.0,179,625.99869
-39879.0,179,660.024121
-26253.0,179,695.333046
-105134.0,179,733.741476
-50052.0,179,771.855405
-56538.0,179,809.364826
-45783.0,179,845.997756
-54445.0,179,884.116207
-19035.0,179,916.470619
-22747.0,179,948.790058
-29249.0,179,984.745982
-43198.0,179,1020.565417
-43493.0,179,1057.610837
-30446.0,179,1090.91577
-37210.0,179,1124.281209
-22087.0,179,1157.800135
-23896.0,179,1190.557076
-57675.0,179,1226.912501
-40007.0,179,1262.161935
-16385.0,179,1294.451468
-15847.0,179,1324.663731
-25747.0,179,1356.974856
-30696.0,179,1392.977377
-24725.0,179,1427.275234
-22799.0,179,1460.882489
-17565.0,179,1493.705665
-36383.0,179,1529.998302
-19053.0,179,1561.228579
-51333.0,179,1592.77911
-16854.0,179,1624.772938
-25854.0,179,1660.798907
-29086.0,179,1694.068165
-17153.0,179,1725.219616
-20201.0,179,1757.179157
-16721.0,179,1789.919787
-17987.0,179,1822.027483
-23679.0,179,1853.46774
-16622.0,179,1885.197033
-19108.0,179,1917.081858
-20131.0,179,1948.393212
-14687.0,179,1978.091089
-20784.0,179,2008.560977
-16423.0,179,2040.994372
-15913.0,179,2070.682586
-15086.0,179,2101.897538
-12450.0,179,2131.856611
-19094.0,179,2162.181258
-21272.0,179,2194.634948
-14603.0,179,2224.37421
-14975.0,179,2255.350006
-15037.0,179,2286.923351
-13883.0,179,2317.050676
-18126.0,179,2349.266538
-12272.0,179,2381.053921
-20303.0,179,2413.235309
-19743.0,179,2444.230211
-18269.0,179,2474.383626
-16643.0,179,2504.72855
-13727.0,179,2535.218463
-16072.0,179,2565.775385
-21519.0,179,2597.552147
-17562.0,179,2628.832922
-11943.0,179,2659.778234
-21024.0,179,2692.182067
-13751.0,179,2722.190929
-15480.0,179,2755.862803
-11247.0,179,2785.54219
-11100.0,179,2814.1866
-14727.0,179,2843.854008
-13505.0,179,2873.955922
-16153.0,179,2904.173342
-14349.0,179,2932.67677
-10995.0,179,2961.340206
-11016.0,179,2990.48013
-12116.0,179,3018.650069
-11484.0,179,3047.626504
-11399.0,179,3079.354933
-9209.0,179,3105.309736
-10957.0,179,3134.848508
-13039.0,179,3164.003296
-9019.0,179,3192.603154
-17303.0,179,3222.565422
-9291.0,179,3250.644761
-14491.0,179,3281.392606
-8942.0,179,3308.879961
-11938.0,179,3337.696327
-11367.0,179,3365.132206
-9427.0,179,3393.865594
-9857.0,179,3420.819479
-9111.0,179,3448.826873
-9008.0,179,3475.725781
-9124.0,179,3503.35219
-10164.0,179,3531.072591
-8583.0,179,3558.724003
-14530.0,179,3589.376413
-10088.0,179,3622.479319
-9628.0,179,3652.204732
-10283.0,179,3680.686652
-9551.0,179,3707.928078
-8066.0,179,3744.944986
-8317.0,179,3775.095406
-7153.0,179,3804.083833
-8882.0,179,3832.819265
-9783.0,179,3861.9452
-8863.0,179,3892.620122
-8133.0,179,3923.384549
-7402.0,179,3956.206475
-7421.0,179,3985.985908
-9003.0,179,4016.162836
-9866.0,179,4049.674765
-9726.0,179,4085.564183
-12175.0,179,4117.22105
-11834.0,179,4149.458298
-7641.0,179,4180.284059
-7978.0,179,4210.048362
-11258.0,179,4240.525164
-11629.0,179,4274.160967
-8799.0,179,4300.400825
-8582.0,179,4325.775698
-7324.0,179,4352.014071
-8753.0,179,4376.628959
-8366.0,179,4402.659348
-8191.0,179,4431.19323
-6307.0,179,4459.562121
-8037.0,179,4485.539522
-8625.0,179,4510.841933
-7749.0,179,4537.374843
-6953.0,179,4563.402258
-11657.0,179,4590.747176
-8126.0,179,4616.864591
-7234.0,179,4643.176015
-8391.0,179,4669.913436
-10016.0,179,4699.853351
-8379.0,179,4730.347268
-7323.0,179,4755.6107
-7590.0,179,4781.347133
-8808.0,179,4808.249064
-7783.0,179,4834.714505
-7360.0,179,4862.759429
-7155.0,179,4889.444865
-6063.0,179,4915.530305
-6887.0,179,4940.997241
-7917.0,179,4966.479687
-8498.0,179,4993.577123
-8215.0,179,5018.755559
-6122.0,179,5045.851996
-4687.0,179,5069.161944
-6361.0,179,5093.592387
-6153.0,179,5117.536331
-7382.0,179,5142.898532
-9091.0,179,5168.526978
-5927.0,179,5192.261009
-6132.0,179,5215.73058
-5783.0,179,5239.44922
-6054.0,179,5263.47731
-7869.0,179,5289.656939
-7748.0,179,5316.713083
-5696.0,179,5341.727782
-6709.0,179,5369.168479
-5132.0,179,5392.998769
-10418.0,179,5419.260488
-6525.0,179,5443.86977
-8281.0,179,5468.203572
-8391.0,179,5493.40188
-6832.0,179,5518.888699
-6591.0,179,5543.961536
-5539.0,179,5567.754384
-5638.0,179,5591.498244
-6271.0,179,5616.844601
-4528.0,179,5640.44098
-5873.0,179,5665.052857
-5123.0,179,5688.98325
-5466.0,179,5713.323634
-5359.0,179,5736.708034
-6723.0,179,5761.83393
-5286.0,179,5785.613339
-4887.0,179,5809.437248
-5202.0,179,5834.540158
-8250.0,179,5859.105575
-4752.0,179,5884.710485
-5113.0,179,5909.256906
-4736.0,179,5932.608332
-4365.0,179,5955.557762
-5534.0,179,5978.749192
-4074.0,179,6002.948621
-4122.0,179,6026.388553
-5317.0,179,6051.277487
-3543.0,179,6074.753417
-4297.0,179,6098.051853
-6251.0,179,6122.351291
-5375.0,179,6148.542223
-4866.0,179,6172.196388
-4672.0,179,6196.755461
