episode,reward,total_throughput
319,-3170.0,47
320,-2968.0,42
321,-2965.0,52
322,-3707.0,38
323,-3701.0,37
324,-2747.0,44
325,-3401.0,42
326,-3284.0,45
327,-3929.0,39
328,-3040.0,43
329,-2962.0,46
330,-2674.0,46
331,-3384.0,39
332,-3458.0,42
333,-3795.0,39
334,-3183.0,44
335,-3869.0,36
336,-3021.0,46
337,-3194.0,45
338,-3139.0,48
339,-2883.0,46
340,-3432.0,42
341,-3514.0,41
342,-3048.0,44
343,-3196.0,40
344,-3342.0,45
345,-3618.0,40
346,-3021.0,49
347,-2712.0,50
348,-3330.0,41
349,-3332.0,44
350,-3165.0,43
351,-2738.0,50
352,-3256.0,44
353,-2982.0,48
354,-3646.0,38
355,-2736.0,53
356,-3450.0,40
357,-2890.0,44
358,-3471.0,40
359,-3120.0,47
360,-2754.0,45
361,-2832.0,47
362,-2897.0,44
363,-3767.0,32
364,-3198.0,40
365,-3111.0,43
366,-2971.0,43
367,-3281.0,46
368,-3167.0,43
369,-2973.0,44
370,-2715.0,48
371,-3012.0,44
372,-3609.0,37
373,-4071.0,37
374,-2957.0,39
375,-2975.0,47
376,-3981.0,34
377,-3192.0,42
378,-3195.0,40
379,-3842.0,33
380,-3143.0,40
381,-3141.0,47
382,-2523.0,50
383,-3143.0,42
384,-3388.0,35
385,-3078.0,43
386,-2569.0,45
387,-3038.0,46
388,-2722.0,43
389,-3542.0,39
390,-2865.0,45
391,-3246.0,41
392,-2993.0,43
393,-3900.0,36
394,-2754.0,49
395,-2830.0,43
396,-3319.0,42
397,-2971.0,46
398,-2963.0,48
399,-3154.0,49
400,-3282.0,40
401,-3686.0,38
402,-3678.0,37
403,-2777.0,48
404,-2901.0,41
405,-2750.0,49
406,-3122.0,42
407,-2843.0,46
408,-2832.0,51
409,-2895.0,49
410,-3351.0,42
411,-3206.0,43
412,-3459.0,37
413,-2851.0,49
414,-2827.0,46
415,-3809.0,37
416,-3193.0,40
417,-3589.0,40
418,-3453.0,39
419,-2569.0,47
420,-3013.0,38
421,-3319.0,39
422,-2942.0,45
423,-2812.0,51
424,-2874.0,47
425,-2828.0,50
426,-2799.0,54
427,-3037.0,47
428,-2958.0,43
429,-3061.0,41
430,-3557.0,36
431,-2419.0,51
432,-3462.0,39
433,-3210.0,40
434,-2952.0,49
435,-3142.0,50
436,-2840.0,51
437,-3844.0,35
438,-2936.0,45
439,-3194.0,40
440,-3341.0,41
441,-3615.0,43
442,-3540.0,35
443,-3320.0,40
444,-2948.0,39
445,-2826.0,43
446,-2779.0,47
447,-2622.0,46
448,-2807.0,45
449,-3815.0,31
450,-3354.0,43
451,-3128.0,39
452,-3246.0,42
453,-2653.0,48
454,-3601.0,34
455,-2960.0,44
456,-3583.0,38
457,-2823.0,45
458,-2899.0,44
459,-2807.0,52
460,-3884.0,35
461,-3411.0,36
462,-2368.0,46
463,-2445.0,49
464,-2672.0,45
465,-2952.0,45
466,-3111.0,43
467,-2975.0,42
468,-2841.0,47
469,-2878.0,48
470,-3082.0,45
471,-2965.0,45
472,-2866.0,46
473,-3279.0,42
474,-2871.0,41
475,-2736.0,45
476,-2516.0,46
477,-2765.0,49
478,-3007.0,39
479,-3517.0,36
480,-2851.0,45
481,-2632.0,49
482,-3126.0,40
483,-2691.0,49
484,-3235.0,39
485,-3227.0,42
486,-2779.0,48
487,-2933.0,41
488,-3079.0,45
489,-3625.0,35
490,-2930.0,46
491,-2946.0,47
492,-2472.0,48
493,-2607.0,46
494,-3155.0,40
495,-3225.0,41
496,-2845.0,46
497,-2876.0,44
498,-2810.0,44
499,-3049.0,44
500,-2958.0,44
501,-3255.0,40
502,-3453.0,46
503,-2219.0,52
504,-2824.0,46
505,-2722.0,50
506,-2737.0,51
507,-3047.0,46
508,-3100.0,43
509,-3584.0,38
510,-3172.0,47
511,-4735.0,23
512,-3076.0,42
513,-3212.0,40
514,-2634.0,48
515,-2828.0,49
516,-3527.0,39
517,-3161.0,45
518,-2661.0,45
519,-2937.0,43
520,-2834.0,46
521,-3582.0,40
522,-3130.0,36
523,-3565.0,38
524,-3701.0,37
525,-3257.0,42
526,-2744.0,45
527,-2816.0,40
528,-3432.0,39
529,-2800.0,47
530,-3184.0,42
531,-2799.0,52
532,-3312.0,42
533,-2520.0,46
534,-3006.0,41
535,-3257.0,39
536,-3140.0,42
537,-2915.0,48
538,-3244.0,41
539,-2702.0,48
540,-2668.0,52
541,-3077.0,40
542,-2542.0,50
543,-3071.0,44
544,-2737.0,44
545,-2958.0,45
546,-2776.0,41
547,-2886.0,42
548,-2841.0,46
549,-3195.0,39
550,-3387.0,39
551,-2911.0,43
552,-2911.0,46
553,-2884.0,41
554,-2979.0,44
555,-3678.0,34
556,-3166.0,40
557,-2915.0,41
558,-3178.0,48
559,-3164.0,45
560,-2455.0,51
561,-2898.0,43
562,-2829.0,44
563,-2761.0,48
564,-2541.0,51
565,-3163.0,43
566,-2464.0,48
567,-2774.0,46
568,-3378.0,39
569,-2680.0,45
570,-3341.0,43
571,-3573.0,35
572,-2937.0,48
573,-2862.0,45
574,-2466.0,48
575,-2587.0,45
576,-3157.0,42
577,-3373.0,40
578,-2588.0,47
579,-3033.0,42
580,-3185.0,43
581,-3520.0,38
582,-2959.0,39
583,-2921.0,46
584,-2856.0,50
585,-3012.0,42
586,-2977.0,44
587,-2424.0,47
588,-3026.0,45
589,-3173.0,39
590,-3578.0,38
591,-2549.0,42
592,-3416.0,45
593,-2490.0,50
594,-2618.0,49
595,-2726.0,48
596,-3728.0,35
597,-3218.0,43
598,-2840.0,44
599,-3240.0,39
600,-2630.0,52
601,-2823.0,46
602,-3309.0,43
603,-2303.0,51
604,-3309.0,46
605,-2912.0,42
606,-2827.0,47
607,-2812.0,42
608,-2952.0,40
609,-2777.0,45
610,-2959.0,42
611,-3131.0,37
612,-3079.0,38
613,-2549.0,49
614,-2896.0,49
615,-2942.0,45
616,-3807.0,36
617,-2889.0,46
618,-3766.0,34
619,-2898.0,47
620,-2675.0,50
621,-2926.0,41
622,-2648.0,52
623,-2786.0,44
624,-2338.0,51
625,-2844.0,48
626,-2863.0,44
627,-2547.0,48
628,-2699.0,42
629,-2644.0,50
630,-2540.0,51
631,-2731.0,44
632,-2728.0,48
633,-2136.0,50
634,-2937.0,44
635,-2854.0,44
636,-3474.0,38
637,-2814.0,42
638,-2851.0,51
639,-2852.0,44
640,-3161.0,46
641,-2826.0,46
642,-3011.0,43
643,-2817.0,48
644,-3303.0,35
645,-2827.0,43
646,-2225.0,53
647,-2852.0,40
648,-2689.0,44
649,-2407.0,53
650,-2760.0,50
651,-3422.0,41
652,-3199.0,42
653,-3212.0,35
654,-2520.0,45
655,-2639.0,49
656,-3163.0,40
657,-2574.0,50
658,-3065.0,39
659,-3484.0,33
660,-2534.0,50
661,-3544.0,37
662,-3238.0,42
663,-2997.0,44
664,-2906.0,44
665,-2821.0,45
666,-2609.0,44
667,-3172.0,40
668,-2552.0,48
669,-2711.0,50
670,-2859.0,45
671,-2668.0,51
672,-2480.0,47
673,-2567.0,44
674,-2631.0,49
675,-3016.0,38
676,-3099.0,44
677,-2735.0,48
678,-2611.0,50
679,-3082.0,44
680,-3358.0,40
681,-3004.0,40
682,-4066.0,30
683,-2851.0,43
684,-3279.0,42
685,-2758.0,46
686,-3217.0,41
687,-3319.0,42
688,-2568.0,49
689,-3506.0,37
690,-2548.0,49
691,-2685.0,47
692,-2536.0,45
693,-2771.0,48
694,-2715.0,51
695,-2611.0,42
696,-3169.0,38
697,-3293.0,38
698,-2887.0,47
699,-2247.0,47
700,-2876.0,44
701,-3038.0,44
702,-2567.0,47
703,-2792.0,43
704,-3011.0,45
705,-2795.0,45
706,-3222.0,42
707,-2784.0,42
708,-2869.0,47
709,-2362.0,53
710,-2082.0,47
711,-2775.0,46
712,-3046.0,41
713,-2288.0,50
714,-2653.0,48
715,-3457.0,39
716,-2903.0,42
717,-2619.0,46
718,-2964.0,40
719,-2801.0,42
720,-2561.0,50
721,-2906.0,43
722,-3013.0,42
723,-2613.0,52
724,-2806.0,42
725,-2943.0,43
726,-2664.0,49
727,-2611.0,44
728,-3079.0,44
729,-3052.0,42
730,-2641.0,51
731,-3122.0,42
732,-2304.0,47
733,-2406.0,46
734,-2921.0,50
735,-2634.0,48
736,-2542.0,53
737,-3122.0,44
738,-2120.0,48
739,-3368.0,39
740,-2507.0,48
741,-2706.0,45
742,-2975.0,43
743,-3152.0,36
744,-2146.0,52
745,-2523.0,43
746,-2418.0,46
747,-2888.0,42
748,-3136.0,41
749,-2185.0,52
750,-2624.0,44
751,-2269.0,50
752,-2523.0,46
753,-2768.0,46
754,-3232.0,39
755,-2807.0,46
756,-2709.0,42
757,-2541.0,52
758,-2834.0,49
759,-3024.0,47
760,-4414.0,29
761,-2936.0,45
762,-2684.0,47
763,-3091.0,43
764,-2886.0,43
765,-2278.0,53
766,-3051.0,44
767,-2886.0,51
768,-2182.0,50
769,-2731.0,49
770,-3001.0,40
771,-3033.0,45
772,-2831.0,48
773,-3237.0,43
774,-3351.0,37
775,-2309.0,50
776,-2341.0,49
777,-2585.0,47
778,-2964.0,43
779,-3092.0,41
780,-2344.0,44
781,-2906.0,46
782,-2463.0,45
783,-3413.0,36
784,-2682.0,51
785,-2346.0,51
786,-2614.0,45
787,-2886.0,45
788,-3678.0,39
789,-2608.0,48
790,-2396.0,47
791,-2530.0,51
792,-2815.0,45
793,-2707.0,46
794,-3024.0,40
795,-3149.0,43
796,-3038.0,42
797,-3001.0,47
798,-2697.0,47
799,-3382.0,43
